epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,18259.1,0.71126,0.41343,0.83205,0.91635,0.89325,0.94759,0.74095,0.7821,0.43619,0.86649,0.000121196,0.000121196,0.000121196
43,18694.1,0.71233,0.40675,0.83283,0.90397,0.89806,0.94462,0.7395,0.78415,0.43848,0.86615,0.000119177,0.000119177,0.000119177
44,19129.4,0.7186,0.40641,0.83516,0.91562,0.8993,0.94651,0.74059,0.78123,0.43314,0.86675,0.000117157,0.000117157,0.000117157
45,19564.8,0.71147,0.40228,0.83137,0.91808,0.88727,0.94517,0.73979,0.78539,0.43361,0.86738,0.000115138,0.000115138,0.000115138
46,20000.6,0.70444,0.40001,0.83155,0.92087,0.88468,0.94454,0.73858,0.78348,0.4323,0.86765,0.000113118,0.000113118,0.000113118
47,20435.7,0.70749,0.39725,0.83199,0.91939,0.89084,0.94356,0.7375,0.78517,0.43667,0.86754,0.000111098,0.000111098,0.000111098
48,20871,0.69739,0.39263,0.82808,0.92319,0.88257,0.94229,0.73588,0.78171,0.43516,0.86804,0.000109079,0.000109079,0.000109079
49,21309.8,0.68871,0.38759,0.82933,0.92989,0.88312,0.94481,0.73963,0.78388,0.42987,0.86791,0.000107059,0.000107059,0.000107059
50,21748.1,0.69967,0.38605,0.82716,0.91344,0.89548,0.94601,0.74046,0.78011,0.42927,0.86731,0.00010504,0.00010504,0.00010504
51,22187.5,0.69003,0.38683,0.8266,0.91793,0.89597,0.94617,0.74031,0.78471,0.42746,0.86824,0.00010302,0.00010302,0.00010302
52,22626,0.6826,0.37852,0.83053,0.92913,0.89331,0.94798,0.74267,0.78251,0.42794,0.86774,0.000101,0.000101,0.000101
53,23063,0.68206,0.38105,0.8279,0.92061,0.90046,0.94983,0.74327,0.78782,0.42345,0.86973,9.89808e-05,9.89808e-05,9.89808e-05
54,23497.3,0.67776,0.38067,0.82468,0.93147,0.89546,0.94582,0.74117,0.78499,0.42798,0.86874,9.69612e-05,9.69612e-05,9.69612e-05
55,23931.5,0.67342,0.37221,0.82563,0.92956,0.8999,0.94906,0.74514,0.778,0.42158,0.86762,9.49416e-05,9.49416e-05,9.49416e-05
56,24365.3,0.67504,0.37288,0.82175,0.9242,0.89357,0.95007,0.74438,0.78423,0.42558,0.86855,9.2922e-05,9.2922e-05,9.2922e-05
57,24801.1,0.66828,0.37007,0.82452,0.90738,0.90344,0.95032,0.74415,0.78284,0.42261,0.86784,9.09024e-05,9.09024e-05,9.09024e-05
58,25235.6,0.67091,0.36781,0.82113,0.91136,0.90501,0.95108,0.74583,0.783,0.4189,0.86892,8.88828e-05,8.88828e-05,8.88828e-05
59,25669.7,0.65738,0.36092,0.8202,0.9263,0.89772,0.95178,0.74741,0.78324,0.41774,0.86791,8.68632e-05,8.68632e-05,8.68632e-05
60,26103.1,0.65599,0.35774,0.82006,0.91231,0.90755,0.95257,0.74809,0.78216,0.41905,0.86788,8.48436e-05,8.48436e-05,8.48436e-05
61,26537.1,0.64539,0.35496,0.81895,0.92343,0.89628,0.9516,0.74585,0.78391,0.41799,0.86898,8.2824e-05,8.2824e-05,8.2824e-05
62,26971.1,0.65523,0.35576,0.82138,0.92926,0.89011,0.95063,0.74565,0.784,0.41594,0.86923,8.08044e-05,8.08044e-05,8.08044e-05
63,27405.4,0.63849,0.34862,0.81759,0.93015,0.90351,0.9545,0.74747,0.78336,0.41514,0.86883,7.87848e-05,7.87848e-05,7.87848e-05
64,27839.8,0.64156,0.34721,0.82219,0.92377,0.90299,0.9518,0.74864,0.78469,0.41466,0.87038,7.67652e-05,7.67652e-05,7.67652e-05
65,28283,0.63635,0.34764,0.81528,0.91621,0.90796,0.95491,0.74891,0.78695,0.41809,0.87083,7.47456e-05,7.47456e-05,7.47456e-05
66,28732.4,0.64045,0.34854,0.81686,0.92873,0.90634,0.9534,0.74822,0.78615,0.4173,0.87105,7.2726e-05,7.2726e-05,7.2726e-05
67,29194,0.63474,0.34872,0.81807,0.93681,0.89619,0.95473,0.75104,0.78533,0.41328,0.87003,7.07064e-05,7.07064e-05,7.07064e-05
68,29640.4,0.63215,0.33914,0.81474,0.93198,0.89106,0.95155,0.74801,0.78737,0.41585,0.87069,6.86868e-05,6.86868e-05,6.86868e-05
69,30085.8,0.62661,0.3408,0.81404,0.9294,0.8944,0.95341,0.74851,0.78732,0.41383,0.87144,6.66672e-05,6.66672e-05,6.66672e-05
70,30532.7,0.62407,0.33986,0.8119,0.93212,0.89427,0.95185,0.74794,0.78573,0.41573,0.87058,6.46476e-05,6.46476e-05,6.46476e-05
71,30978.5,0.62823,0.33785,0.81581,0.93442,0.89212,0.95283,0.74863,0.7856,0.41398,0.87078,6.2628e-05,6.2628e-05,6.2628e-05
72,31424.4,0.62066,0.33757,0.81395,0.93371,0.89264,0.95469,0.74937,0.78535,0.41356,0.87113,6.06084e-05,6.06084e-05,6.06084e-05
73,31870,0.614,0.33186,0.81392,0.9327,0.89053,0.95302,0.74933,0.78796,0.41374,0.87241,5.85888e-05,5.85888e-05,5.85888e-05
74,32315.2,0.61374,0.32943,0.81006,0.93739,0.88649,0.95294,0.75015,0.78747,0.41108,0.87246,5.65692e-05,5.65692e-05,5.65692e-05
75,32760.1,0.60581,0.32469,0.81251,0.92794,0.90027,0.95408,0.75117,0.78872,0.41178,0.87185,5.45496e-05,5.45496e-05,5.45496e-05
76,33205.8,0.60816,0.32987,0.81151,0.92699,0.8967,0.95329,0.74969,0.78812,0.40931,0.87159,5.253e-05,5.253e-05,5.253e-05
77,33651.2,0.59814,0.32111,0.81172,0.92233,0.90545,0.95458,0.7507,0.78875,0.41056,0.87285,5.05104e-05,5.05104e-05,5.05104e-05
78,34097.2,0.59643,0.31937,0.80772,0.92011,0.90244,0.95335,0.75047,0.78785,0.41286,0.87155,4.84908e-05,4.84908e-05,4.84908e-05
79,34543.8,0.59275,0.31727,0.80569,0.93847,0.89481,0.95423,0.75213,0.78527,0.41229,0.87188,4.64712e-05,4.64712e-05,4.64712e-05
80,34989.7,0.59359,0.32086,0.81066,0.92438,0.90131,0.95418,0.75157,0.78809,0.41325,0.87295,4.44516e-05,4.44516e-05,4.44516e-05
81,35436.7,0.59265,0.31651,0.80718,0.9218,0.90526,0.95438,0.75256,0.78857,0.41195,0.87292,4.2432e-05,4.2432e-05,4.2432e-05
82,35883.3,0.58647,0.31354,0.80677,0.91683,0.90832,0.95279,0.75154,0.78805,0.41146,0.87247,4.04124e-05,4.04124e-05,4.04124e-05
83,36329.2,0.58782,0.31377,0.81101,0.9367,0.89131,0.95329,0.75233,0.78855,0.41088,0.87262,3.83928e-05,3.83928e-05,3.83928e-05
84,36776,0.57876,0.31317,0.80699,0.92496,0.89931,0.95356,0.75286,0.78794,0.41128,0.87312,3.63732e-05,3.63732e-05,3.63732e-05
85,37222.2,0.57461,0.30649,0.80502,0.9326,0.89451,0.95308,0.75214,0.78707,0.41155,0.87298,3.43536e-05,3.43536e-05,3.43536e-05
86,37671.2,0.58194,0.30812,0.80825,0.92279,0.90315,0.95304,0.75153,0.78731,0.40978,0.87251,3.2334e-05,3.2334e-05,3.2334e-05
87,38116.3,0.56962,0.30588,0.80589,0.92438,0.90508,0.95393,0.7513,0.78882,0.40977,0.87335,3.03144e-05,3.03144e-05,3.03144e-05
88,38563.5,0.57186,0.30714,0.80641,0.91697,0.91012,0.95418,0.75261,0.78834,0.40917,0.87301,2.82948e-05,2.82948e-05,2.82948e-05
89,39011.5,0.57232,0.303,0.80516,0.91808,0.90832,0.95371,0.75257,0.78869,0.41024,0.87323,2.62752e-05,2.62752e-05,2.62752e-05
90,39458.9,0.56906,0.3022,0.80385,0.93088,0.8933,0.95306,0.75193,0.79004,0.41172,0.87352,2.42556e-05,2.42556e-05,2.42556e-05
91,39883.1,0.55606,0.2813,0.80337,0.92874,0.89785,0.9524,0.75193,0.79067,0.41085,0.87426,2.2236e-05,2.2236e-05,2.2236e-05
92,40306.3,0.54717,0.27777,0.80528,0.92422,0.8999,0.95196,0.75168,0.7913,0.41292,0.87497,2.02164e-05,2.02164e-05,2.02164e-05
93,40731.2,0.54185,0.27508,0.80552,0.91889,0.90242,0.95212,0.75136,0.79183,0.41229,0.87533,1.81968e-05,1.81968e-05,1.81968e-05
94,41156.9,0.54039,0.27334,0.80321,0.9188,0.90576,0.95286,0.75176,0.79049,0.41175,0.87534,1.61772e-05,1.61772e-05,1.61772e-05
95,41579,0.53626,0.27108,0.80327,0.92086,0.90346,0.95249,0.75254,0.79016,0.41181,0.8754,1.41576e-05,1.41576e-05,1.41576e-05
96,42003.9,0.53025,0.26881,0.8031,0.92633,0.89934,0.95293,0.7532,0.79122,0.41274,0.87593,1.2138e-05,1.2138e-05,1.2138e-05
97,42427.6,0.53159,0.26937,0.80211,0.93002,0.89866,0.95305,0.75232,0.79103,0.41263,0.87611,1.01184e-05,1.01184e-05,1.01184e-05
98,42852.1,0.52934,0.26743,0.80087,0.93361,0.89676,0.95307,0.75308,0.79115,0.4133,0.87593,8.0988e-06,8.0988e-06,8.0988e-06
99,43276.2,0.52712,0.26906,0.80055,0.93178,0.89669,0.95279,0.75337,0.79147,0.41298,0.87609,6.0792e-06,6.0792e-06,6.0792e-06
100,43700.1,0.52927,0.26932,0.80501,0.93194,0.89529,0.95247,0.75355,0.79123,0.41256,0.87618,4.0596e-06,4.0596e-06,4.0596e-06
